"{1, 2, 4, 29, 43, 107}"
"{1, 2, 4, 29, 80, 107}"
"{1, 2, 4, 29, 81, 107}"
"{1, 2, 4, 29, 82, 107}"
"{1, 2, 4, 29, 107, 118}"
"{1, 2, 4, 62, 80, 112}"
"{1, 2, 4, 62, 81, 112}"
"{1, 2, 15, 72, 90, 98}"
"{1, 2, 15, 72, 90, 104}"
"{1, 2, 19, 29, 90, 107}"
"{1, 2, 19, 29, 100, 103}"
"{1, 2, 19, 29, 103, 105}"
"{1, 2, 19, 29, 103, 106}"
"{1, 2, 43, 49, 62, 112}"
"{1, 2, 43, 50, 62, 112}"
"{1, 3, 6, 15, 73, 104}"
"{1, 3, 9, 49, 76, 108}"
"{1, 3, 9, 49, 76, 109}"
"{1, 3, 14, 68, 76, 98}"
"{1, 3, 14, 68, 76, 104}"
"{1, 3, 15, 31, 79, 109}"
"{1, 3, 15, 62, 90, 110}"
"{1, 3, 15, 62, 90, 111}"
"{1, 3, 15, 62, 90, 119}"
"{1, 3, 15, 62, 90, 120}"
"{1, 3, 15, 62, 90, 124}"
"{1, 3, 15, 62, 90, 125}"
"{1, 3, 24, 50, 73, 104}"
"{1, 3, 25, 49, 73, 104}"
"{1, 3, 39, 50, 54, 104}"
"{1, 3, 39, 50, 54, 105}"
"{1, 3, 50, 54, 75, 105}"
"{1, 3, 50, 54, 76, 105}"
"{1, 3, 54, 68, 76, 98}"
"{1, 3, 54, 68, 76, 99}"
"{1, 3, 54, 68, 76, 104}"
"{1, 3, 62, 76, 90, 102}"
"{1, 3, 62, 76, 90, 107}"
"{1, 3, 62, 76, 90, 108}"
"{1, 3, 68, 76, 96, 98}"
"{1, 3, 68, 76, 96, 99}"
"{1, 3, 68, 76, 96, 104}"
"{1, 3, 72, 76, 90, 97}"
"{1, 4, 5, 15, 62, 103}"
"{1, 4, 5, 40, 62, 89}"
"{1, 4, 5, 40, 62, 103}"
"{1, 4, 6, 15, 62, 103}"
"{1, 4, 7, 15, 62, 103}"
"{1, 4, 7, 40, 62, 68}"
"{1, 4, 8, 15, 62, 103}"
"{1, 4, 8, 40, 62, 68}"
"{1, 4, 8, 40, 63, 68}"
"{1, 4, 8, 40, 68, 98}"
"{1, 4, 8, 40, 68, 99}"
